# Electron impact cross section for elastic scattering of electrons on He
#
# Taken from LXCat database (www.lxcat.net)
#
# Data extracted from the following publications
# AT LOW ENERGY:
# Crompton. Elford. and Jory. Australian J. Phys. 20. 369 (1967)
# Crompton. Elford. and Robertson. ibid 23. 667 (1970) Miloy and Crompton.Phys. Rev. A 15. 1847 (1977) .
# AT HIGH ENERGIES:
# and from Hayashi. Institute of Plasma Physics Report No. IPPJ-AM-19. (1981)
#
# eV	m**2
#
0	4.96E-020
0.001	4.98E-020
0.002	5.02E-020
0.003	5.07E-020
0.005	5.12E-020
0.007	5.15E-020
0.0085	5.18E-020
0.01	5.21E-020
0.015	5.28E-020
0.02	5.35E-020
0.03	5.46E-020
0.04	5.54E-020
0.05	5.62E-020
0.07	5.74E-020
0.1	5.86E-020
0.12	5.94E-020
0.15	6.04E-020
0.17	6.08E-020
0.2	6.16E-020
0.25	6.27E-020
0.3	6.35E-020
0.35	6.42E-020
0.4	6.49E-020
0.5	6.59E-020
0.7	6.73E-020
1	6.85E-020
1.2	6.91E-020
1.3	6.92E-020
1.5	6.96E-020
1.7	6.97E-020
1.9	6.98E-020
2.1	6.98E-020
2.2	6.98E-020
2.5	6.96E-020
2.8	6.92E-020
3	6.89E-020
3.3	6.82E-020
3.6	6.73E-020
4	6.6E-020
4.5	6.49E-020
5	6.31E-020
6	6E-020
7	5.68E-020
8	5.35E-020
10	4.72E-020
12	4.2E-020
15	3.5E-020
17	3.15E-020
20	2.64E-020
25	2.05E-020
30	1.74E-020
50	1.1E-020
75	8.8E-021
100	7.5E-021
150	6.05E-021
200	5.2E-021
300	4.1E-021
500	3E-021
750	2.35E-021
1000	1.7E-021
