# Ionization cross section for He 
# Source NIST database
# 
# eV	m**2
26	1.77E-22
26.5	2.41E-22
26.6	2.54E-22
27	3.06E-22
27.5	3.71E-22
27.6	3.85E-22
28	4.37E-22
28.5	5.02E-22
28.6	5.15E-22
29	5.67E-22
29.5	6.31E-22
29.6	6.44E-22
30	6.95E-22
30.5	7.58E-22
30.6	7.7E-22
31	8.2E-22
31.5	8.82E-22
32	9.43E-22
32.1	9.55E-22
32.5	1.003E-21
33	1.062E-21
33.5	1.12E-21
33.6	1.132E-21
34	1.178E-21
34.5	1.234E-21
35	1.289E-21
35.5	1.344E-21
36	1.397E-21
37	1.501E-21
38	1.6E-21
38.6	1.658E-21
39	1.696E-21
40	1.788E-21
41	1.877E-21
42	1.961E-21
43	2.042E-21
43.6	2.09E-21
44	2.12E-21
45	2.195E-21
46	2.266E-21
47	2.335E-21
48	2.4E-21
48.6	2.438E-21
49	2.463E-21
50	2.523E-21
51	2.58E-21
52	2.635E-21
53.6	2.718E-21
54	2.738E-21
56	2.832E-21
58	2.918E-21
58.6	2.942E-21
60	2.997E-21
65	3.166E-21
67	3.223E-21
68.6	3.266E-21
70	3.3E-21
75	3.407E-21
78.6	3.469E-21
80	3.491E-21
85	3.556E-21
88.6	3.593E-21
90	3.605E-21
90.2	3.607E-21
95	3.642E-21
95.2	3.644E-21
100	3.668E-21
105	3.686E-21
110	3.696E-21
115	3.699E-21
118	3.699E-21
120	3.697E-21
130	3.682E-21
135	3.669E-21
140	3.653E-21
145	3.636E-21
147	3.628E-21
150	3.616E-21
160	3.573E-21
170	3.525E-21
180	3.475E-21
190	3.423E-21
200	3.37E-21
220	3.263E-21
225	3.237E-21
250	3.108E-21
275	2.984E-21
280	2.96E-21
300	2.868E-21
325	2.759E-21
350	2.657E-21
375	2.562E-21
400	2.473E-21
430	2.374E-21
450	2.312E-21
500	2.172E-21
550	2.047E-21
570	2.002E-21
600	1.937E-21
650	1.838E-21
700	1.75E-21
750	1.67E-21
870	1.506E-21
1000	1.363E-21
1150	1.231E-21
1320	1.11E-21
1520	9.97E-22
1750	8.93E-22
2010	8.01E-22
2300	7.19E-22
2650	6.42E-22
3000	5.8E-22
3500	5.11E-22
4000	4.57E-22
4600	4.07E-22
5300	3.61E-22
6100	3.21E-22
7000	2.85E-22
8000	2.54E-22
9000	2.3E-22
10000	2.1E-22
